Id,SalePrice
1461,115926.5946
1462,151030.3425
1463,171983.9774
1464,198518.8832
1465,194967.6219
1466,181130.4955
1467,198666.2698
1468,171002.9489
1469,206145.0965
1470,112759.021
1471,204334.8364
1472,117862.9528
1473,98476.81802
1474,149269.211
1475,117658.6241
1476,312117.1383
1477,245167.6778
1478,290163.3307
1479,270185.2867
1480,402589.1702
1481,291828.11
1482,215717.1861
1483,176148.2505
1484,173997.1191
1485,196616.4531
1486,208586.4278
1487,284068.6194
1488,257077.8722
1489,183546.914
1490,229785.5469
1491,210524.1982
1492,87298.58045
1493,216318.8133
1494,288070.3531
1495,275949.432
1496,221778.4876
1497,168651.9129
1498,155032.2173
1499,161750.2494
1500,153370.9033
1501,199409.1517
1502,141523.2665
1503,275544.6236
1504,246126.5368
1505,224419.8511
1506,205088.4739
1507,248543.3161
1508,204240.143
1509,152697.16
1510,144657.6233
1511,144944.5084
1512,188921.3284
1513,165183.6704
1514,151028.9154
1515,225820.9129
1516,168948.7182
1517,173882.1265
1518,122190.9288
1519,245533.8266
1520,128423.231
1521,121866.2459
1522,201280.1224
1523,84193.94222
1524,112219.7512
1525,100726.2486
1526,87835.31576
1527,92925.18738
1528,154204.6387
1529,126296.928
1530,235715.7391
1531,148405.3235
1532,108085.6035
1533,148410.8723
1534,128801.6568
1535,155075.6773
1536,105032.3272
1537,25555.33594
1538,186050.9877
1539,230878.2944
1540,105664.4369
1541,154354.0684
1542,139176.3281
1543,194870.9923
1544,74865.09499
1545,133468.4883
1546,136233.8365
1547,142794.0314
1548,138863.0874
1549,123700.2676
1550,122798.62
1551,131944.7751
1552,128603.2988
1553,155022.6563
1554,124708.8448
1555,167308.0621
1556,75883.88263
1557,85449.85645
1558,91969.91784
1559,66222.31636
1560,125742.3811
1561,122399.7065
1562,117076.1851
1563,117197.7506
1564,151320.2402
1565,132764.1004
1566,244850.4089
1567,58718.89896
1568,224264.0689
1569,91092.56646
1570,144952.049
1571,110665.4803
1572,139786.847
1573,252882.3388
1574,117583.651
1575,242656.4873
1576,245615.4643
1577,198192.5684
1578,146457.8833
1579,132922.393
1580,208040.6238
1581,142077.7537
1582,121888.7488
1583,306586.7065
1584,227907.4255
1585,155186.9158
1586,45691.81783
